assignment_id,user_id,experiment_id,experiment_name,variant,assigned_at
ab_c87e6ef83a01,usr_fe5b5c4844cb,exp_202501,pricing_ab,A,2025-05-01 04:30:48
ab_43ea9eae6ffd,usr_081b7e4e7569,exp_202501,pricing_ab,A,2025-05-01 03:50:23
ab_c1b1dcfe7e39,usr_6d79daab8e89,exp_202501,pricing_ab,B,2025-05-01 23:09:59
ab_64433e3f7806,usr_582bbacbd485,exp_202501,pricing_ab,B,2025-05-01 23:08:32
ab_d1235d742468,usr_f69b37b87079,exp_202501,pricing_ab,A,2025-05-01 22:55:36
ab_dbd78b265363,usr_4f6e5f894f70,exp_202501,pricing_ab,B,2025-05-01 02:25:33
ab_b3520e022c42,usr_d215e45b4716,exp_202501,pricing_ab,A,2025-05-01 13:03:05
ab_24787d59d39a,usr_fdd615f17bc8,exp_202501,pricing_ab,B,2025-05-01 16:05:03
ab_3d3fc9c19fec,usr_e712e5fd2b6e,exp_202501,pricing_ab,B,2025-05-01 06:31:47
ab_47d34cb1f953,usr_2223091ee7f0,exp_202501,pricing_ab,B,2025-05-01 23:39:54
ab_5503589b1aff,usr_1a82a9c86390,exp_202501,pricing_ab,A,2025-05-01 18:53:23
ab_a1f46c111133,usr_77f9a8789ba1,exp_202501,pricing_ab,B,2025-05-01 17:02:04
ab_92b08a7755cd,usr_9580168272cc,exp_202501,pricing_ab,A,2025-05-01 14:55:32
ab_937747b110e0,usr_f96f18ed5093,exp_202501,pricing_ab,A,2025-05-01 14:46:49
ab_87f0eaa09415,usr_a876b68b9291,exp_202501,pricing_ab,B,2025-05-01 20:01:43
ab_e8becf68b7f6,usr_822414eafeae,exp_202501,pricing_ab,B,2025-05-01 18:24:12
ab_d429604979f7,usr_2339cf5d8811,exp_202501,pricing_ab,A,2025-05-01 23:49:15
ab_3440400b99ad,usr_84db891f23e5,exp_202501,pricing_ab,B,2025-05-02 01:03:48
ab_4831726b28ba,usr_0202a571719f,exp_202501,pricing_ab,B,2025-05-02 04:13:32
ab_614dc063e76b,usr_4551b21d421e,exp_202501,pricing_ab,B,2025-05-02 08:18:38
ab_1fb7fbbb782e,usr_8e88e2348275,exp_202501,pricing_ab,B,2025-05-02 01:16:41
ab_2800c2421cf0,usr_3d4df6202340,exp_202501,pricing_ab,A,2025-05-02 14:11:33
ab_0aa49f0cd1c6,usr_f79a9708f072,exp_202501,pricing_ab,B,2025-05-02 04:52:52
ab_ff56a18a7be0,usr_7a2f53dac85b,exp_202501,pricing_ab,A,2025-05-02 11:37:51
ab_f294058a7e75,usr_cdc23fa9852e,exp_202501,pricing_ab,A,2025-05-02 05:44:47
ab_a747c63c4d85,usr_47d4e6a48616,exp_202501,pricing_ab,A,2025-05-02 20:58:41
ab_174ac9ec44c6,usr_326055bb281f,exp_202501,pricing_ab,B,2025-05-02 13:12:14
ab_efb4b00368fe,usr_91477b87b5cd,exp_202501,pricing_ab,B,2025-05-02 13:58:21
ab_d20237242cbf,usr_57c0b976b95c,exp_202501,pricing_ab,B,2025-05-02 09:51:44
ab_339bbe0fd355,usr_f7117afb117c,exp_202501,pricing_ab,A,2025-05-02 19:42:58
ab_01a9d490d2b9,usr_c81060d66216,exp_202501,pricing_ab,B,2025-05-02 01:08:06
ab_39f78b878abf,usr_9818899caf97,exp_202501,pricing_ab,B,2025-05-02 06:58:59
ab_6a1682b49ff1,usr_aea280ca95a5,exp_202501,pricing_ab,B,2025-05-02 13:54:09
ab_2fa4c6362c76,usr_9f101e2cb1ed,exp_202501,pricing_ab,B,2025-05-02 22:21:46
ab_a89816777516,usr_d81c1d498ba4,exp_202501,pricing_ab,B,2025-05-02 07:03:10
ab_ea3efec3ac20,usr_ddf13cb33634,exp_202501,pricing_ab,B,2025-05-02 10:54:50
ab_8d1cf592248a,usr_39baa1181892,exp_202501,pricing_ab,A,2025-05-02 09:33:41
ab_31ccff1aee43,usr_f19105050a7b,exp_202501,pricing_ab,A,2025-05-02 16:22:18
ab_e591d8ff5955,usr_916235ba228c,exp_202501,pricing_ab,B,2025-05-02 12:32:14
ab_50ab051fc207,usr_f7faf693d33e,exp_202501,pricing_ab,B,2025-05-02 19:04:39
ab_43f25287a96f,usr_7176f864de46,exp_202501,pricing_ab,A,2025-05-02 12:15:10
ab_032cbf4d0ca8,usr_8309857b957e,exp_202501,pricing_ab,B,2025-05-02 15:36:29
ab_d42c0a6668d6,usr_15842deef606,exp_202501,pricing_ab,B,2025-05-02 19:56:37
ab_cdfb6ab31a83,usr_97be8724306d,exp_202501,pricing_ab,B,2025-05-03 19:11:12
ab_fbc558c5ba71,usr_02790bfc24c1,exp_202501,pricing_ab,B,2025-05-03 06:19:49
ab_de857df9c2ba,usr_124bd7ccf228,exp_202501,pricing_ab,A,2025-05-03 02:21:43
ab_00891868f547,usr_5233d122bcbf,exp_202501,pricing_ab,B,2025-05-03 01:46:47
ab_6d9b4436a5b9,usr_1ce5e3cdb5ff,exp_202501,pricing_ab,B,2025-05-03 16:00:51
ab_2871ead2802e,usr_46f5ca70856a,exp_202501,pricing_ab,B,2025-05-03 05:55:09
ab_602a5bd9ac83,usr_d61186b2fafd,exp_202501,pricing_ab,A,2025-05-03 00:28:12
ab_98e958e37e3f,usr_1555578f42ea,exp_202501,pricing_ab,B,2025-05-03 03:35:34
ab_53b0098ed449,usr_908c85ea3607,exp_202501,pricing_ab,A,2025-05-03 20:39:34
ab_503e4d216be3,usr_bd2f8ad6497f,exp_202501,pricing_ab,B,2025-05-03 15:05:45
ab_1582d07d6fae,usr_2ad470aa2e87,exp_202501,pricing_ab,A,2025-05-03 12:29:26
ab_18db9085f6d3,usr_46e0c0c7ef9b,exp_202501,pricing_ab,A,2025-05-03 06:22:12
ab_9d1383bd4d4f,usr_f01f80bc4e50,exp_202501,pricing_ab,B,2025-05-03 09:13:31
ab_e9bc7d8a9727,usr_5e76141f4200,exp_202501,pricing_ab,A,2025-05-03 11:10:48
ab_78a1a5108795,usr_e9f7f4aae2eb,exp_202501,pricing_ab,B,2025-05-03 09:02:27
ab_724b4ac65dda,usr_068afeb70aa1,exp_202501,pricing_ab,A,2025-05-03 02:58:30
ab_3e605ca319df,usr_614e51091dfe,exp_202501,pricing_ab,A,2025-05-03 10:53:21
ab_0c29267a8d39,usr_b9101017e777,exp_202501,pricing_ab,A,2025-05-03 23:13:09
ab_fdab7c60da3a,usr_8a50cf9a2359,exp_202501,pricing_ab,B,2025-05-03 12:56:07
ab_b4cc01fe9c10,usr_b62b09bd33dd,exp_202501,pricing_ab,A,2025-05-03 23:38:58
ab_d0e78fc9d474,usr_8b381716016c,exp_202501,pricing_ab,B,2025-05-03 09:10:48
ab_edc06c9794b4,usr_33e6555eb133,exp_202501,pricing_ab,A,2025-05-03 02:38:08
ab_2e487ca37ada,usr_6ec3add987a2,exp_202501,pricing_ab,B,2025-05-03 06:23:40
ab_d6ff8d959e08,usr_9f71ed7af3f5,exp_202501,pricing_ab,A,2025-05-03 13:25:36
ab_7ab40fd753f9,usr_3003846ede25,exp_202501,pricing_ab,A,2025-05-03 07:22:22
