referrer_user_id,referred_user_id,referral_time,referral_code
usr_6b87a57bd775,usr_999627af31c9,2025-01-03 07:00:00,rf_2dc98f20
usr_065a57484a03,usr_97c482c5ea09,2024-12-04 19:23:00,rf_323a083c
usr_b783533a534b,usr_039406094001,2025-01-14 15:12:00,rf_9b6ed228
usr_999627af31c9,usr_baae86ef556b,2025-02-15 11:50:00,rf_50e5a02d
usr_2b0c7bbc467f,usr_2752111a2aa5,2024-12-22 02:32:00,rf_86fb7f63
usr_9ffcb6ec8a1e,usr_eac7791f64d9,2025-01-08 16:43:00,rf_375ac73c
usr_cdc2f5071815,usr_f5769295676e,2025-01-15 10:45:00,rf_3d4d7988
usr_413a0ed75cbb,usr_c176db9a62dc,2024-12-11 03:26:00,rf_c33c986a
usr_3889f4a92f7b,usr_e29ef74d5b45,2024-12-15 02:57:00,rf_57ad9cb3
usr_0552be864fcc,usr_d55954a37b20,2025-03-01 09:09:00,rf_d0873c0f
usr_88b5c6156bcd,usr_dcc9891fc378,2024-12-20 15:11:00,rf_53e3ca55
usr_50b5234fa5fa,usr_d7074579844a,2025-01-12 04:34:00,rf_2719d96a
usr_299ac1a6b026,usr_d90903755a6d,2024-12-05 06:42:00,rf_04fc9b12
usr_1a1dde6472be,usr_1e61c54ffe43,2025-01-29 13:16:00,rf_b8dc66ef
usr_a96cdbd2f7d3,usr_9a56adb300af,2025-02-15 12:05:00,rf_30ac419e
usr_2b0c7bbc467f,usr_cc5d4311581a,2025-02-21 10:32:00,rf_d8e4f450
usr_8acbb457a6f6,usr_4a3e6fac7830,2025-02-09 09:42:00,rf_1b001cff
usr_ba484ab147a0,usr_d204e9b1c51f,2025-02-20 03:36:00,rf_9dacf4b4
usr_a58e2c3f916e,usr_de2109ec85d1,2025-01-22 22:58:00,rf_9ffa6e53
usr_506097681248,usr_680469dbded1,2025-02-21 00:46:00,rf_c65ba14b
usr_3018e24b9c40,usr_4932dfe678b5,2025-02-14 05:20:00,rf_a785e2dd
usr_2ded3962c584,usr_196b46857cb7,2025-01-13 00:17:00,rf_cd780ff7
usr_3018e24b9c40,usr_43d5d254ea4a,2025-01-07 13:31:00,rf_d1372f7d
usr_3889f4a92f7b,usr_a3224c6087f5,2025-02-19 00:12:00,rf_8f379bbd
usr_c4741909e4b4,usr_6c7a24bca741,2024-12-01 03:45:00,rf_1b9246be
usr_b3734fd5bc17,usr_858e368a61dc,2025-02-16 05:32:00,rf_3ec605ad
usr_64db1ef9b498,usr_8ba65a896c75,2025-02-23 02:07:00,rf_8dc17b7f
usr_a49ff27bdf58,usr_badf03990e38,2024-12-28 02:03:00,rf_1e35717f
usr_2be9698dc24a,usr_9eb97bc91cdb,2025-02-19 04:54:00,rf_5b588cf9
usr_8d3a649da1e1,usr_ab13b851fec1,2025-01-24 10:42:00,rf_c0232708
usr_966d6d06f472,usr_3cffd1cbbe40,2025-02-20 17:09:00,rf_fbecac04
usr_49f14cb71d60,usr_1d5511045b06,2025-01-23 12:28:00,rf_9c193ae9
usr_392a2c93c2b0,usr_5ec7d71685f5,2025-02-14 21:30:00,rf_a9969b33
usr_807a1f553710,usr_e2a4889fdce1,2025-01-05 12:05:00,rf_08b56032
usr_b8854da86066,usr_26c6181b284f,2025-01-13 20:37:00,rf_c9eb4021
usr_f8122f70984d,usr_242383716ee7,2025-02-27 20:42:00,rf_63500fd1
usr_f1c677dc01b5,usr_56b3cff293b5,2025-01-29 03:16:00,rf_d2473135
usr_9051d8a2a804,usr_383323813bb6,2024-12-20 08:13:00,rf_1b7598f5
usr_3cf39c10fc08,usr_7a7423ac6535,2025-02-12 11:44:00,rf_3d9c6224
usr_c176db9a62dc,usr_62715f7896e8,2024-12-02 07:19:00,rf_67719f7a
usr_8acbb457a6f6,usr_89690b8f2c95,2025-03-01 15:53:00,rf_eb6f132e
usr_faa57c1d1ee3,usr_26e27bf58916,2025-02-26 18:23:00,rf_6622b593
usr_af3af9c85774,usr_29812e0c50d3,2025-01-05 05:11:00,rf_842c5feb
usr_5ca97cd402a5,usr_715409fa1d2f,2024-12-16 16:54:00,rf_5abc8c6f
usr_29440f0320df,usr_8d78df193aca,2025-02-20 22:05:00,rf_3057e630
usr_b7d37e54965c,usr_d031e50d4d30,2025-01-18 01:38:00,rf_28aaf49d
usr_e33896756403,usr_28a0d82e15ef,2025-02-26 14:51:00,rf_afe063dd
usr_aec3f2954b1b,usr_f5d185c1ae13,2025-02-26 01:41:00,rf_1ae00aa2
usr_0aadcdcd1df6,usr_98b9d781bd67,2024-12-22 10:02:00,rf_abf23a44
usr_3f9ae831bec0,usr_64b6e2aa6881,2024-12-30 04:12:00,rf_74bc07f8
usr_a8801949778c,usr_e04c5ab179f5,2025-01-26 03:34:00,rf_75f9c6e5
usr_5fd0f33d17b4,usr_7a99916a99dd,2024-12-28 15:28:00,rf_a4bd85cf
usr_89939edb31e8,usr_7bb628f804aa,2024-12-27 23:22:00,rf_f5c423ce
usr_b0a2666556d2,usr_cd32b2566d33,2025-03-01 22:55:00,rf_f6a2a4c3
usr_e9b1338dfc94,usr_fabc06573f4e,2025-02-20 04:12:00,rf_666ae11e
usr_6e8809239b25,usr_5a4591d5d149,2024-12-10 18:03:00,rf_490e60f4
usr_76da9e57303d,usr_ae4e10dd5e3a,2025-01-05 23:59:00,rf_2d474981
usr_6d7a9d63c0f4,usr_f57ac7932921,2025-01-19 20:34:00,rf_2beb32dd
usr_814184ce7ed5,usr_dae5e1d51186,2024-12-18 00:54:00,rf_708961ef
usr_2688048a4117,usr_0978f94adddd,2025-02-10 04:40:00,rf_244fe83e
usr_0f51bc3b8f5f,usr_d1c4ca7d63a2,2025-02-02 19:53:00,rf_56e8c9de
usr_a88225a94a5b,usr_ab73d02a34d6,2024-12-14 12:03:00,rf_00d5b2ad
usr_f32b2661100f,usr_1a172c29723c,2024-12-02 21:39:00,rf_226aaabb
usr_e0528dda0c4b,usr_9d39661a48fd,2025-01-03 16:43:00,rf_14077bb9
usr_672ccfb73288,usr_759b85bb660b,2025-02-12 02:14:00,rf_94cc7019
usr_619bb33e9111,usr_657328db6001,2025-01-26 04:16:00,rf_a1766b66
usr_32e40e7a8185,usr_31ce5e5329bd,2025-01-20 21:42:00,rf_6c8cd96a
usr_f5769295676e,usr_ae763ab7108c,2025-01-21 15:59:00,rf_0fd74195
usr_1095b2fdd682,usr_2245c4e336a5,2025-01-29 10:14:00,rf_672020f5
usr_bc19e08bdfbe,usr_67a650d6d273,2024-12-15 04:51:00,rf_2b48c6bf
usr_69dae4a30d0e,usr_c8de66f4bb7f,2025-02-25 14:43:00,rf_75b7dcb5
usr_cee1793d5d4c,usr_16929928888c,2025-02-04 03:07:00,rf_16986eff
usr_d14945de5dcf,usr_5c2066d6cf01,2025-02-24 13:18:00,rf_d322c903
