chat_id,user_id,sent_at,tag,emotion,channel,status
chat_d678903d6e,usr_d9957640e673,2025-04-01 12:39:32,Error,negative,web,open
chat_a4a7c3a003,usr_53edf6429808,2025-04-01 13:59:07,Other,negative,in_app,in_progress
chat_086533804d,usr_b3b6d07c5a6a,2025-04-01 10:48:29,Feature Suggestion,neutral,email,in_progress
chat_a52fea733c,usr_f14a5d9a25cc,2025-04-01 03:58:33,Other,neutral,in_app,in_progress
chat_f84a34f30f,usr_a933fb6930fa,2025-04-01 04:11:18,Learning,neutral,in_app,in_progress
chat_d1117da31a,usr_815e23969986,2025-04-01 15:42:25,Account,negative,in_app,closed
chat_ad270b61c8,usr_895fdd60ffbb,2025-04-01 13:04:52,Praise,negative,email,closed
chat_1890e12f17,usr_bf73432b5821,2025-04-02 15:04:52,Complaint,positive,email,in_progress
chat_f3a50b835c,usr_d5793a76ebfe,2025-04-02 06:55:05,Complaint,positive,in_app,resolved
chat_f34e5df888,usr_431117ede117,2025-04-02 03:24:54,Learning,neutral,web,in_progress
chat_2f074425cd,usr_00de57cb5ac6,2025-04-02 03:44:43,Praise,neutral,kakao,resolved
chat_a5b575ad91,usr_6565f845e52a,2025-04-03 00:08:25,Payment,neutral,web,resolved
chat_051b0d5b43,usr_920d7f38747f,2025-04-03 15:50:27,Account,neutral,in_app,in_progress
chat_f1a877dd55,usr_2b8aba632c81,2025-04-03 21:02:46,Error,negative,web,in_progress
chat_52bf0bcf5f,usr_1b5dfc59a61d,2025-04-03 16:31:53,Payment,positive,web,closed
chat_be16aa1d04,usr_c7b2073365b7,2025-04-03 10:28:06,Account,positive,web,in_progress
chat_083badb40e,usr_65b9db20eec6,2025-04-03 11:25:42,Praise,negative,email,in_progress
chat_e280363f04,usr_513533dc4c9b,2025-04-03 18:12:55,Payment,negative,email,in_progress
chat_36e03ba476,usr_c1280d49cbe3,2025-04-04 03:28:14,Payment,negative,email,closed
chat_fa8170db4b,usr_7c851e7274de,2025-04-04 17:26:45,Complaint,negative,in_app,resolved
chat_bdff786701,usr_51178a0f7509,2025-04-04 05:27:29,Other,positive,email,open
chat_555d281434,usr_de3805c0e278,2025-04-04 18:09:38,Other,neutral,email,resolved
chat_522e5dcea3,usr_fb8c73782f00,2025-04-04 01:10:24,Account,positive,kakao,closed
chat_563ccbe289,usr_b885a9f37756,2025-04-04 03:47:44,Learning,positive,web,closed
chat_32a47fad45,usr_88b5c6156bcd,2025-04-04 17:09:40,Learning,positive,email,closed
chat_3213bf33c6,usr_e78bb3b14dba,2025-04-04 23:36:38,Praise,positive,web,open
chat_f7dfdaeeb2,usr_4c393e8a80fc,2025-04-04 11:50:23,Feature Suggestion,neutral,web,closed
chat_79e3a6e781,usr_a59f3305a0b8,2025-04-05 07:08:47,Other,positive,kakao,in_progress
chat_d19b914cc4,usr_965bd4665209,2025-04-05 07:17:09,Error,neutral,web,closed
chat_be20d5bc9c,usr_b468e1cca0c7,2025-04-05 15:27:03,Error,positive,kakao,resolved
chat_33f2c73ff9,usr_cdc3c3b7c935,2025-04-05 09:55:28,Payment,negative,email,closed
chat_423098b7d1,usr_c1aa3bb31efb,2025-04-05 19:35:21,Payment,positive,in_app,in_progress
chat_64de7d231f,usr_73de8d0587c7,2025-04-05 00:15:23,Complaint,negative,email,open
chat_6aeb42f6fe,usr_602e4077c5a6,2025-04-05 18:03:49,Payment,positive,email,in_progress
chat_07ccaf590a,usr_2177a6e11d73,2025-04-05 01:25:35,Learning,positive,kakao,open
chat_3c82e279af,usr_f7547f30b955,2025-04-05 00:10:06,Payment,neutral,kakao,resolved
chat_1f47f06f24,usr_281cf3da65ab,2025-04-05 14:46:09,Complaint,positive,kakao,open
chat_959a83c56d,usr_c1ae355662e1,2025-04-06 11:42:12,Other,neutral,kakao,open
chat_d49bb8cffd,usr_8ab86ef657eb,2025-04-06 13:14:16,Other,neutral,in_app,closed
chat_f167b41622,usr_91ad87af93cf,2025-04-06 20:42:31,Other,negative,web,closed
chat_7048246246,usr_af0ea6cb4825,2025-04-06 03:24:18,Other,negative,kakao,open
chat_04ff97499f,usr_645cc8ce378e,2025-04-07 06:15:10,Account,neutral,email,open
chat_d248759fe2,usr_f74c0c7e60b3,2025-04-07 21:47:03,Praise,positive,web,resolved
chat_26d73ba548,usr_593f22573e36,2025-04-07 21:56:01,Account,positive,web,in_progress
chat_ffc0e90743,usr_5ec7d71685f5,2025-04-07 17:56:39,Error,negative,in_app,closed
chat_dcb3dd36c4,usr_299d72f7c42c,2025-04-07 10:07:44,Payment,negative,email,closed
chat_53a9bfac51,usr_dd40c7523889,2025-04-07 18:58:04,Payment,negative,kakao,resolved
chat_b3ca95af15,usr_c8639fb3c72f,2025-04-08 23:50:56,Account,negative,kakao,in_progress
chat_18e8974b76,usr_08dee1b0a7a9,2025-04-08 16:55:32,Feature Suggestion,positive,email,in_progress
chat_73f104f842,usr_199d272224e7,2025-04-08 09:02:50,Payment,neutral,email,resolved
chat_e1f4e0b191,usr_f6835db3eaee,2025-04-08 15:16:08,Payment,positive,in_app,resolved
chat_4dafa31b3f,usr_1a4255b7436e,2025-04-08 21:07:56,Praise,negative,in_app,resolved
chat_7400606f73,usr_823001266016,2025-04-08 18:11:56,Account,positive,email,in_progress
chat_bbb1d7e83e,usr_c5ea702d35ce,2025-04-08 07:15:37,Feature Suggestion,positive,web,resolved
chat_1dcecd23a7,usr_61a6fa92515c,2025-04-08 22:18:13,Praise,positive,email,closed
chat_e6b0a60ae6,usr_99f7d0984988,2025-04-08 11:25:03,Feature Suggestion,negative,email,in_progress
chat_56bffd5aff,usr_0cb265895041,2025-04-08 12:24:57,Error,positive,web,in_progress
chat_163520bf86,usr_76e7a5bc8bae,2025-04-08 07:12:08,Praise,negative,in_app,open
chat_d740464f5b,usr_3798d48a6c99,2025-04-09 21:50:32,Complaint,positive,in_app,resolved
chat_4e9705e53a,usr_470c34a5fe71,2025-04-09 07:09:47,Error,neutral,kakao,closed
chat_bc25dd89b9,usr_f1514150143b,2025-04-09 02:32:41,Complaint,positive,kakao,open
chat_c33c8cccac,usr_ce32c515953f,2025-04-09 12:22:39,Feature Suggestion,neutral,email,resolved
chat_e3076993f4,usr_f720176e9626,2025-04-09 04:39:43,Account,positive,kakao,resolved
chat_1297e46bef,usr_1babf3335616,2025-04-09 12:27:34,Complaint,neutral,kakao,in_progress
chat_e1a33a091b,usr_64cb38b16668,2025-04-09 04:12:16,Feature Suggestion,negative,in_app,in_progress
chat_4a7768ca8c,usr_cdc2f5071815,2025-04-09 04:51:08,Other,negative,in_app,resolved
chat_326b0ad733,usr_b2d8c0acc538,2025-04-09 16:07:06,Feature Suggestion,positive,web,in_progress
chat_93523dd9ee,usr_744b05d1384f,2025-04-09 09:13:20,Account,neutral,email,resolved
chat_c11d6ba7a5,usr_19e2c5b740a7,2025-04-09 12:07:53,Complaint,negative,email,closed
chat_9d0e937794,usr_c694c9934d7c,2025-04-09 10:30:51,Payment,positive,web,open
chat_cdbd54160e,usr_c32f7c096f45,2025-04-10 09:03:32,Other,positive,web,in_progress
chat_9849299116,usr_0dbc72f75224,2025-04-10 21:24:46,Feature Suggestion,positive,web,resolved
chat_a297f2a16a,usr_ab897dc2a1a3,2025-04-10 15:14:58,Payment,positive,email,in_progress
chat_7885614950,usr_bd2582feea81,2025-04-10 17:32:25,Account,neutral,in_app,open
chat_7fedbe0a26,usr_8a1d168d7552,2025-04-10 14:50:09,Feature Suggestion,neutral,email,closed
chat_f6bbd4d298,usr_3614b6b04b28,2025-04-11 02:32:44,Feature Suggestion,negative,email,closed
chat_9e3e907cec,usr_d69ccd84b6e7,2025-04-11 22:41:29,Payment,neutral,kakao,closed
chat_d5f85f5616,usr_096e179f7c70,2025-04-11 15:15:15,Praise,negative,email,open
chat_d7a6eca788,usr_7ece33f2b202,2025-04-11 12:29:03,Feature Suggestion,neutral,email,resolved
chat_d019c30bd8,usr_d3b2a432fc45,2025-04-11 16:37:56,Feature Suggestion,positive,web,open
chat_de849fda89,usr_e45a6fbc2dcf,2025-04-11 08:06:06,Payment,positive,kakao,closed
chat_2abd452766,usr_0b53d7259f62,2025-04-11 19:54:44,Payment,positive,web,in_progress
chat_77a895407a,usr_7a7423ac6535,2025-04-11 05:23:55,Account,neutral,kakao,open
chat_0eaec4a1fe,usr_d9fd5c264862,2025-04-11 04:05:12,Other,neutral,email,open
chat_1e13174176,usr_e407ff58cb4c,2025-04-12 11:15:55,Praise,positive,web,in_progress
chat_b09db857ae,usr_2a3d1f99d681,2025-04-12 01:23:51,Learning,neutral,email,resolved
chat_675c2b7e29,usr_39f0a712fe6f,2025-04-12 19:36:35,Feature Suggestion,neutral,kakao,closed
chat_1994673fd1,usr_ada81393c5aa,2025-04-12 05:11:32,Other,positive,web,in_progress
chat_dd84da7b3f,usr_466e236cf5c4,2025-04-12 07:26:27,Error,neutral,in_app,resolved
chat_b995a3efff,usr_a16844008e5a,2025-04-12 09:51:52,Payment,positive,email,open
chat_8ceaa589ff,usr_1a1dbeea681a,2025-04-12 19:53:38,Account,negative,in_app,resolved
chat_6bd66b9dad,usr_db82bbd90928,2025-04-13 20:57:34,Learning,neutral,email,resolved
chat_bea420a1db,usr_08134076d352,2025-04-13 14:44:26,Feature Suggestion,neutral,kakao,closed
chat_37a526915f,usr_0dc05e8116ec,2025-04-13 16:12:28,Complaint,negative,web,resolved
chat_89b69c288a,usr_a001341003ee,2025-04-13 20:12:12,Learning,positive,email,in_progress
chat_8332e5fba8,usr_1da5f9bd9535,2025-04-13 06:45:11,Other,positive,email,open
chat_196ae40f6f,usr_7a99916a99dd,2025-04-13 10:25:07,Account,neutral,kakao,resolved
chat_22d5d694aa,usr_d26bac624c63,2025-04-13 21:06:25,Other,neutral,web,open
chat_b770878239,usr_0cc309799956,2025-04-13 05:31:58,Error,positive,email,closed
chat_eea05a4b52,usr_d3efa0429c83,2025-04-13 16:52:13,Error,neutral,in_app,in_progress
chat_de37c12a05,usr_205b8f1f8338,2025-04-14 18:47:07,Feature Suggestion,neutral,web,closed
chat_d211eea4c0,usr_ea235903d95a,2025-04-14 11:04:36,Complaint,positive,web,open
chat_61c23cdc52,usr_bdbcc299bb5f,2025-04-14 19:13:24,Learning,neutral,kakao,in_progress
chat_9ffa5dd1f5,usr_d14945de5dcf,2025-04-14 21:59:26,Error,neutral,email,in_progress
chat_a9f3968073,usr_30759c482aba,2025-04-14 12:52:11,Complaint,positive,web,resolved
chat_f7146d5b46,usr_c0119e78814d,2025-04-15 19:59:36,Other,neutral,in_app,open
chat_e613c26370,usr_b98369477c14,2025-04-15 08:19:18,Learning,neutral,email,closed
chat_1abfea9dfc,usr_2a80d2d9e95e,2025-04-15 18:34:45,Feature Suggestion,positive,web,resolved
chat_7c69ea385d,usr_97b65131e126,2025-04-15 21:53:21,Feature Suggestion,negative,in_app,open
chat_11f1fe8e3e,usr_9fac4d27b3b3,2025-04-15 10:08:50,Payment,positive,in_app,closed
chat_8b2ee1bbbf,usr_dc0b24ef7b4c,2025-04-15 12:15:06,Account,negative,in_app,in_progress
chat_8d13b594d6,usr_5ce2c367709c,2025-04-15 17:46:33,Praise,positive,web,closed
chat_ad166ca11c,usr_d6b5e76de994,2025-04-15 19:28:22,Praise,neutral,in_app,resolved
