payment_id,user_id,event_time,plan_name,amount,method,status
pay_d8b42511fe51,usr_182a54666833,2025-04-01 00:00:00,annual_basic,99.99,apple,success
pay_38bfe6505146,usr_48262cef2493,2025-04-01 00:00:00,monthly_basic,9.99,naver,success
pay_dfe9e467a1a5,usr_74ff4071a3e2,2025-04-01 00:00:00,annual_basic,99.99,naver,success
pay_55e6c5b83491,usr_385b38c519a3,2025-04-01 00:00:00,annual_basic,99.99,kakao,success
pay_592bc3d90809,usr_4dcde0d33183,2025-04-01 00:00:00,annual_pro,199.99,paypal,success
pay_4afc9e3e2f9b,usr_7c5f543d24a1,2025-04-01 00:00:00,monthly_basic,9.99,toss,success
pay_edce32c9db1d,usr_fc8729e83126,2025-04-01 00:00:00,monthly_basic,9.99,apple,success
pay_d34baac3af88,usr_fa15b64da670,2025-04-01 00:00:00,annual_pro,199.99,card,success
pay_f996afb5cccc,usr_848b1932058e,2025-04-01 00:00:00,annual_pro,199.99,apple,success
pay_5bceaa48a211,usr_32f8990f02e2,2025-04-01 00:00:00,monthly_basic,9.99,kakao,success
pay_9557c9f4342b,usr_4b1ded8502e2,2025-04-01 00:00:00,annual_pro,199.99,naver,success
pay_4970bd8e8899,usr_97b30b602f8f,2025-04-01 00:00:00,monthly_pro,19.99,paypal,success
pay_5d12a0a06cdd,usr_5f1556eb0445,2025-04-01 00:00:00,annual_pro,199.99,toss,success
pay_6e515f09e9eb,usr_730715ce717d,2025-04-01 00:00:00,monthly_pro,19.99,naver,success
pay_fec2c53ac354,usr_4a2708556185,2025-04-01 00:00:00,annual_basic,99.99,paypal,success
pay_8e5abc946d03,usr_560e483cf928,2025-04-01 00:00:00,annual_pro,199.99,apple,success
pay_aa328f931e67,usr_bfed8acfdefc,2025-04-01 00:00:00,annual_pro,199.99,naver,success
pay_386d49c33ab6,usr_2f24ec4ef297,2025-04-01 00:00:00,annual_basic,99.99,naver,success
pay_5627a87612eb,usr_9567be13fea9,2025-04-01 00:00:00,monthly_pro,19.99,naver,success
pay_c33d14e24672,usr_45d1977482a7,2025-04-01 00:00:00,monthly_basic,9.99,card,success
pay_0960915ce4c2,usr_4c139205afb2,2025-04-01 00:00:00,monthly_pro,19.99,naver,success
pay_4a448ef91b97,usr_a24b501ece0e,2025-04-02 00:00:00,monthly_basic,9.99,kakao,success
pay_f8e932aa36f4,usr_e62a52d0584b,2025-04-02 00:00:00,annual_basic,99.99,apple,success
pay_f4f23d4eceb4,usr_22b80dff0f84,2025-04-02 00:00:00,annual_pro,199.99,paypal,success
pay_dbc04a6ba361,usr_52cf98163e68,2025-04-02 00:00:00,monthly_pro,19.99,apple,success
pay_727224d68bab,usr_29d4a6ba839a,2025-04-02 00:00:00,annual_pro,199.99,toss,success
pay_7f96f94758fa,usr_5ca97cd402a5,2025-04-02 00:00:00,annual_pro,199.99,toss,success
pay_9e436ff31a2a,usr_2c92d4e3269f,2025-04-02 00:00:00,annual_basic,99.99,card,success
pay_507ec7536da7,usr_0ef4d1d19d9e,2025-04-02 00:00:00,annual_basic,99.99,toss,success
pay_0c84b6bfd43b,usr_8a02995a13ca,2025-04-02 00:00:00,annual_basic,99.99,card,success
